Product ,unit for the price,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791
Engels koperrood,,0.043,0.04136,0.03927,0.03718,0.03509,0.033,0.034672,0.036344,0.038016,0.039688,0.04136,0.041668,0.041976,0.042284,0.042592,0.0429,0.043186,0.043472,0.043758,0.044044,0.044,0.043274,0.042218,0.041162,0.040106,0.03905,0.0396825,0.040315,0.0409475,0.042,0.047245,0.05291
indigo,,4.939,5.0006,5.0622,5.1238,5.1854,5.247,5.291,5.335,5.379,5.423,5.467,5.9356,6.4042,6.8728,7.3414,7.81,7.6978,7.5856,7.4734,7.3612,7.249,7.1126,6.9762,6.8398,6.7034,6.567,6.4955,6.424,6.3525,6.281,6.578,6.875
Cochenille,,7.92,8.9056,9.8912,10.8768,11.8624,12.848,13.321,13.794,14.267,14.74,15.213,14.432,13.651,12.87,12.089,11.308,11.3674,11.4268,11.4862,11.5456,11.605,11.0352,10.4654,9.8956,9.3258,8.756,8.867,8.978,9.089,9.2,9.2,9.2
galnoten,,0.38,0.3795,0.3795,0.3795,0.3795,0.3795,0.3806,0.3817,0.3828,0.3839,0.385,0.38445,0.3839,0.38335,0.3828,0.38225,0.383636,0.385022,0.386408,0.387794,0.389,0.434544,0.479908,0.525272,0.570636,0.616,0.704,0.792,0.88,0.968,0.9295,0.891
meekrap,,0.1265,0.1265,0.154,0.198,0.25894,0.31823,0.3575,0.3685,0.3465,0.19459,0.1925,0.21681,0.187,0.154,0.14443,0.16687,0.169796,0.172722,0.175648,0.178574,0.1815,0.172326,0.163152,0.153978,0.144804,0.13563,0.1694725,0.203315,0.2371575,0.271,0.251,0.231
buskruit,,0.414,0.432344,0.450758,0.469172,0.487586,0.506,0.48928,0.47256,0.45584,0.43912,0.4224,0.41492,0.40744,0.39996,0.39248,0.385,0.3916,0.3982,0.4048,0.4114,0.418,0.416526,0.415052,0.413578,0.412104,0.41063,0.3904725,0.370315,0.3501575,0.33,0.3309,0.3318
soda,,0.067,0.06512,0.07293,0.077,0.09,0.10637,0.09537,0.08679,0.121,0.109274,0.11,0.108526,0.107052,0.105578,0.88,0.10263,0.09415,0.1,0.16,0.21043,0.25,0.231,0.2046,0.1914,0.1782,0.165,0.152625,0.14025,0.127875,0.116,0.11275,0.11
borax,,1.925,1.881,1.87,1.837,2.046,2.42,2.475,2.563,2.222,1.925,1.65,1.5906,1.5312,1.4718,1.4124,1.353,1.3332,1.3134,1.2936,1.2738,1.254,1.2188,1.1836,1.1484,1.1132,1.078,1.11925,1.1605,1.20175,1.243,1.408,1.573
kwikzilver,,1.925,1.925,1.925,1.925,1.925,1.925,1.925,1.925,1.925,1.925,1.925,1.914,1.903,1.892,1.881,1.87,1.87,1.87,1.87,1.87,1.87,1.8282,1.7864,1.7446,1.7028,1.661,1.793,1.925,2.057,2.189,2.156,2.123
lood in blokken,,0.088,0.090552,0.092774,0.094996,0.097218,0.099,0.09834,0.09724,0.09614,0.09504,0.09394,0.093808,0.093676,0.093544,0.093412,0.09328,0.09328,0.09328,0.09328,0.09328,0.093,0.099308,0.105336,0.111364,0.117392,0.123,0.1299925,0.136565,0.1431375,0.15,0.144375,0.139
gele was,,0.793,0.803044,0.812658,0.822272,0.831886,0.842,0.837232,0.832964,0.828696,0.824428,0.82016,0.869352,0.918544,0.967736,1.016928,1.06612,1.052216,1.038312,1.024408,1.010504,0.997,0.990264,0.983928,0.977592,0.971256,0.965,0.9922825,1.019645,1.0470075,1.074,1.062785,1.051
Franse wijn,,21.92,21.024,20.128,19.232,18.336,17.44,18.524,19.608,20.692,21.776,22.86,23.002,23.144,23.286,23.428,23.57,23.428,23.286,23.144,23.002,22.86,22.032,21.204,20.376,19.548,18.72,20.7375,22.755,24.7725,26.79,27.16,27.53
brandewijn,,38.591,38.9354,39.2798,39.6242,39.9686,40.313,45.36,50.407,55.454,60.501,65.548,65.548,65.548,65.548,65.548,65.548,61.6784,57.8088,53.9392,50.0696,46.2,45.129,44.058,42.987,41.916,40.845,44.29425,47.7435,51.19275,54.642,106.071,157.5
wit katoen,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
bedrukt katoen,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
katoenfluweel,,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
stopgaren,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2375,0.275,0.3125,0.35,0.35,0.35
vlas kamvlokken,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1125,0.125,0.1375,0.15,0.15,0.15
vlas gekamd,,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.57,0.59,0.61,0.63,0.65,0.64,0.63,0.62,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6375,0.675,0.7125,0.75,0.75,0.75
vlas ruw,,0.167,0.1782,0.1899,0.2016,0.2133,0.225,0.225,0.225,0.225,0.225,0.225,0.226,0.227,0.228,0.229,0.23,0.2315,0.233,0.2345,0.236,0.238,0.2375,0.2375,0.2375,0.2375,0.238,0.265625,0.29375,0.321875,0.35,0.35,0.35
vlasgaren,,0.45,0.45,0.45,0.45,0.45,0.45,0.48,0.51,0.54,0.57,0.6,0.59,0.58,0.57,0.56,0.55,0.57,0.59,0.61,0.63,0.65,0.65,0.65,0.65,0.65,0.65,0.725,0.8,0.875,0.95,0.95,0.95
wollen dekens,,3.85,3.812,3.774,3.736,3.698,3.66,3.632,3.604,3.576,3.548,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52
Spaanse wol,,1.474,1.474,1.474,1.474,1.474,1.474,1.474,1.474,1.474,1.474,1.474,1.5202,1.5664,1.6126,1.6588,1.705,1.694,1.683,1.672,1.661,1.65,1.7336,1.8172,1.9008,1.9844,2.068,1.98,1.892,1.804,1.716,1.8865,2.057
wollen stoffen,,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
lijnwaad,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
wit lijnwaad,,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1
zeildoek,,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
baai,,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825
witte zeep,,0.225,0.225016,0.224972,0.224928,0.224884,0.225,0.228272,0.231704,0.235136,0.238568,0.242,0.255112,0.268224,0.281336,0.294448,0.308,0.317548,0.327536,0.337524,0.347512,0.3575,0.351736,0.345972,0.340208,0.334444,0.329,0.324885,0.32109,0.317295,0.314,0.281215,0.249
potas,,0.151,0.170918,0.191136,0.211354,0.231572,0.252,0.243232,0.234674,0.226116,0.217558,0.209,0.19481,0.18062,0.16643,0.15224,0.138,0.16192,0.18579,0.20966,0.23353,0.2574,0.23496,0.21252,0.19008,0.16764,0.1452,0.1705,0.1958,0.2211,0.246,0.252945,0.259
frisade,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
kamelot,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
barkan,,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
serge,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
flanel,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
neteldoek,,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
queues et pennes,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
spijkers,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0,0.0004,0.0004
ingevoerd steenkool ,pesée,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.7625,0.763,0.7625,0.7625
uitgevoerd steenkool ,pesée,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962
gewoon steenkool ,kar,12.68,12.84,13.01,13.22,13.35,12.34,12.34,12.34,11.84,12.59,13.35,13.35,12.84,11.33,11.84,14.44,12.09,12.09,11.58,11.58,13.68,12.59,13.68,12.9,12.12,11.33,11.46,11.58,11.92,12.34,11.08,11.58
klein steenkool ,viertel,0.95,0.98,1,1.03,1.03,1.03,1.06,1.2,1.26,1.29,1.29,1.35,1.35,1.06,1.09,1.23,1.2,1.18,1.23,1.18,1.18,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23
siamoise/stoffen van garen en katoen ,el,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
tin bewerkt,pond,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
vetkaarsen ,pond,0.2125,0.2125,0.2125,0.2125,0.2125,0.2125,0.2225,0.2325,0.2425,0.2525,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625
vers vlees ,pond,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.1625,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175
olijfolie ,aam,80,75,75,80,70,70,70,90,90,90,90,90,90,90,90,90,90,90,90,90,90,91.5,93,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
