Product ,Product ,unit of the price,Constant prices,Years,Reference,Remarks
"turf (ton tot 1764, last daarna)",sand ,15 stuivers per zak,45 gulden per ton,1759-1764,"Verlinden, p. 789",
Ruwe zijde (pond),regular soil,,,1759-1791,"Posthumus, p. 123-127",
Zwavel en zwavellonten (pond),demolition material,"6,5 gulden per 100 pond","0,0715 per pond",1759-1791,"Posthumus, p. 469-470",
wijnsteen (pond),yellow wax,,,,,
plaaster (pond),wax (in figures),,,,,
wilde struiken,coal (imported) - pesée,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
hopscheuten en wingerds,coal (exported) - pesée,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
leisteen (ingekaderd en in boekvorm),regular coal - cartload,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
niet vermelde wapens,small coal - quarter,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
borstels en penselen,peat,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
hout (alle soorten aangegeven naar waarde),chimney soot,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
houtwerk (groot en klein door elkaar),fish oil,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
brandhout,seed oil,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
bonneterie (gemengd),olive oil,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
breiwerk (kleding),lavender oil,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
as van stro e.a.,white lead (dyestuff),Brabantse gulden,,1759-1791,"RvF, 5748-5805",
was (in figuren),English copperas,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
paardehaar (bewerkt),indigo,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kristal (bewerkt),cochineal,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
verguld leder,nut gall,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
koperwerk (verguld en verzilverd),madder,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kant (zijde- en blonde),varnish,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kant (linnen),printing ink,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
laken (zomen en snippers),white soap,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
balsem en alle soorten elixir,soap and pommade,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
siroop van vrouwehaar (geneeskrachtig kruid),soda,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
sterk water,borax,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
mineraalwater,mercury,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
medicinaal water,starch,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
reukwater en kwintessens,potash,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
inkt (Chinese),volatile salt,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
inkt (drukkers-),balm and elixirs,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
zijde (resten en stalen),syrup of zebrinus (medicinal),Brabantse gulden,,1759-1791,"RvF, 5748-5805",
tafzijde (gewast),spirits,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
blik (bewerkt),mineral water,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
hard fruit (gemengd),medicinal water,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
mest (duiven e.a.),cologne and scented waters,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
zemelmeel,medicinal herbs,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
brood,China root,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
uurwerken (algemeen),white mallow,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
draf en hef van het bier,calluna vulgaris,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
"instrumenten voor de wiskunde, geneeskunde 0",slate (framed and in books),Brabantse gulden,,1759-1791,"RvF, 5748-5805",
instrumenten (wiskunde),marble (à jouer),Brabantse gulden,,1759-1791,"RvF, 5748-5805",
instrumenten (optica),stones (in statues),Brabantse gulden,,1759-1791,"RvF, 5748-5805",
instrumenten (geneeskunde),stones (polished for fireplaces and statues),Brabantse gulden,,1759-1791,"RvF, 5748-5805",
riet en stro,tubs of blue stone,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
truffels,woodwork (big and small),Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kurken stoppen,brooms and brushes,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
vlechtwerk in hazelaar,small brooms,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
