1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
haver,,last,"245,41","245,40",,"65,70","65,70",,"189,83","189,78",,"-179,71",,,,,"29,2291666667","0,2291666667",,"3,2142857143",,,"5,2933333333","0,5333333333",,,,,"0,1785714286",,,"0,75",,,,,,,,,"0,8571428571",,,"0,4583333333","0,1666666667",,"0,875",,,"6,8666666667",,,"8,1666666667",,"63,5666666667","76,7916666667",,"3,0520833333","49,875","0,0208333333","3,1458333333","2,5",,,"1,66666667","11,1071428571","41,0714285714","27,7857142857",,"63,8571428571","8,1428571429","31,1428571429",15,"22,75","22,5","0,0833333333"
erwten,,last,"3,41","3,18",,"64,50","64,70",,"16,15","16,15",,"61,09",,,"1,5833333333",,"0,2083333333",,,"0,0147058824",,,"0,1333333333","1,08",,"0,0666666667",,,,"23,25",,"0,2941176471",6,,"0,2","3,6666666667",,,,,,"0,8214285714",,"0,0208333333",,,,"25,75",,,"0,5",,,,"1,125","0,21875",,"0,125","0,3333333333","1,2291666667","4,3958333333",,,,"0,5","0,2142857143",9,"0,1071428571",,"1,5","0,6666666667","0,5",,"0,4166666667","0,1041666667",
veches,,last,"0,88","0,94",,"0,63","0,63",,"0,88","1,00",,"-0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2142857143","0,3333333333",,,,,"0,0208333333",,,"0,2333333333",,,"0,0166666667",,,"0,2708333333","0,2291666667",,"0,1041666667",,"0,4270833333","0,0833333333",,,,,"0,0714285714",,,,,"0,0714285714","0,5",,,
favelottes,,last,"4,43","4,65",,"6,91","6,97",,"11,36","11,36",,"2,48",,,,,"0,0833333333","0,59375",,"0,0882352941",,,"0,1066666667",,,,,,2,,,,,,,,,"0,1666666667",,,,"4,5",,"0,2777777778",,,,"0,6666666667",,,,,,,,"0,7916666667",,,"0,0520833333","0,1354166667","0,5625","0,6","0,35","10,8",,,,,,,"0,0357142857",,,"0,4444444444","0,7222222222",
bonen,,last,"7,79","5,96",,"151,86","151,97",,"2,00","2,00",,"144,07",,,"117,6666666667",,,,,"0,0588235294",,,,"21,6666666667",,,,,,7,,,1,,,"2,1666666667",,,,,,,,"0,0416666667",,,"0,3333333333","0,4",,,"1,9333333333",,,,,,,,,"0,0208333333",,"0,3333333333",,,"0,7142857143",,"0,5","0,0357142857",,"1,5",,,,"4,4444444444","0,1111111111",
granen (gemengd),,last,"8,14","8,14",,"55,33","55,33",,"506,50","506,50",,"47,19",,,,,,,,,,,,,,,,,,,,"3,6428571429","0,5",,,,,,,,,,,,,,,,,,"2,8333333333",,,,,,,,,,84,,,,,2,"2,7142857143",,,"40,0714285714","1,5",5,"55,7142857143",3,45,324
granen (gemengd),,'cheval_e',"0,00","0,00",,"0,00","0,00",,"2131,00","2131,00",,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,38,,,1960
meel,,ton,"826,17","828,21",,"5200,05","5200,06",,"100,95","100,95",,"4373,88",,,"322,8333333333",,,"595,4166666667",,1,"226,0833333333",,,"43,2916666667",,"11,5",,,"645,3541666667",,,,,,,570,,"129,6666666667",861,,,"189,5",,,"1409,4166666667",,"0,0666666667","332,1666666667",,"0,5","45,9333333333",,"6,125","6,0833333333",1,"0,6666666667","223,75",,"2,1666666667","22,5","2,25","1,25","315,3333333333",,2,,"52,5","1,6666666667","28,75","37,5","15,5",,"1,7","10,75",8,6
zemelmeel,,gulden,"126,00","126,00",,"16,00","16,00",,"0,00","0,00",,"-110,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,36,,,10,1,,54,1,,15,,,,,,4,,,,,,,,,7,3,,,,,,2,
granen (alle soorten in schoven),,kar,"236,75","236,75",,"200,25","200,25",,"4,00","4,00",,"-36,50",,,,,,6,,,7,,,,,,,,"91,5",3,,"52,5",121,,,,,,,,"35,75",,,,9,,5,,,3,,,1,4,,"10,5",,3,"32,5","50,25",1,5,,,,,,,,,,,,,,
geneverbessen,,manden,"3958,75","3958,75",,"57,17","57,17",,"53,00","53,00",,"-3901,58",,,,,338,,11,"472,6666666667","0,5",,,,,"75,5",,,,,,2396,,,2,,,38,,,52,,,,,,7,1,,"116,5",,,"62,8333333333",,,"334,75",,,"8,5",,,,,,,,,,"34,6666666667",2,19,12,40,36,9,
wagensmeer,,pond,"84311,00","84311,00",,"3854,50","3854,50",,"1808,00","1808,00",,"-80456,50",,,50,,,300,,,,,,,,41990,,,32807,10,,5170,,,40,,,,25,,,,,,25,,,,,110,36,,186,15,12,475,571,,1095,103,90,,15,10,11,75,500,50,"26,5",199,112,,885,2265,2603,112
kleding,,gulden,"42597,00","42597,00",,"20921,00","20921,00",,"9824,00","9824,00",,"-21676,00",,20092,9763,3848,3073,290,1648,262,394,2056,1464,7501,,450,,,213,315,,199,445,,561,570,,24,103,,3,227,,3710,63,1420,5269,110,,2668,112,,,30,221,7,,,536,761,14,451,,,1433,3,171,75,116,252,468,43,122,1639,75,72
voorpanden van onderhemden,,aantal,"2,00","2,00",,"0,00","0,00",,"0,00","0,00",,"-2,00",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voorpanden van onderhemden,,gulden,"70,00","70,00",,"0,00","0,00",,"0,00","0,00",,"-70,00",,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lederen broeken,,aantal,"105,00","105,00",,"104,00","104,00",,"0,00","0,00",,"-1,00",,,,,13,16,,,48,,,7,,,,,,,,,,,,,,1,,,,12,,,,,,4,,2,,,,,,19,17,,,,,2,,,,,,,,,,,,68,,
lederen broeken,,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mede,,aam,"5,09","5,10",,"10,74","10,74",,"1,13","1,13",,"5,65",,,,,,,,,,,,,,,,,,"5,3333333333",,,,,,,,,,,,"0,3333333333",,,"0,3333333333",,"0,05","0,5",,"0,875",,,"1,12","1,55","0,125",,"0,3333333333",,"1,75","0,1666666667",1,"0,2",,,"0,1","2,1875",,,,,1,,,,,
"uurwerken, pendules en wekkers",,aantal,"191,00","191,00",,"32,00","32,00",,"13,00","13,00",,"-159,00",,,2,1,43,3,,29,2,,1,,,6,,,,3,,16,,,,,,,,,4,4,,,,,,4,,4,2,,,,2,4,1,,26,3,2,1,,,19,3,1,12,1,5,24,3,2,2,1,
"uurwerken, pendules en wekkers",,gulden,"3206,00","3226,00",,"641,00","641,00",,"533,00","533,00",,"-2565,00",,,68,400,812,80,,329,26,,38,,,180,,,,112,,720,,,,,,,,,31,93,,,,,,41,,51,15,,,,17,46,12,,200,52,10,20,,,272,40,6,193,10,90,318,84,10,16,8,
uurwerken (algemeen),,gulden,"84,00","84,00",,"80,00","80,00",,"0,00","0,00",,"-4,00",,20,,,4,,,,,,,,,,,,,80,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zakhorloges (gouden kast),,aantal,"93,00","93,00",,"11,00","11,00",,"0,00","0,00",,"-82,00",,4,8,,14,,,,,,,,,,,,,,,,2,,1,,,2,,,,,,1,,,,,,57,1,,,,,,,,3,,,,,,10,,,,,,,,,1,,
zakhorloges (zilveren kast),,aantal,"384,00","384,00",,"30,00","30,00",,"2,00","2,00",,"-354,00",,1,27,,29,,,,,,3,,,,,,,,,294,3,,6,,,3,,,,,,,,,,,,23,,,,,2,,,,,,,,,,15,,,1,,,,,,9,,
hop,,pond,"69888,50","69878,50",,"2087239,00","2087239,00",,"31378,00","31378,00",,"2017350,50",,,222754,,20,2535,,1350,3975,,,40239,,,,,250,24990,,,4840,,,69026,,,8284,,,781483,,25,7150,,215,12078,,1675,421011,,2210,6670,1665,256,6614,,3267,1919,1270,,446476,,"6998,5",4884,5773,"12219,5",3249,16178,"34966,5",87,6050,6426,18975,442
olijfolie,ONLEESBARE FOTO!,aam,"4988,70","4882,73",,"103,50","85,31",,"400,96","359,21",,"-4885,20",,"10,8333333333","9,5","111,5",,,,17,,,"0,05","71,25",,"1695,45",,"201,6666666667","143,75","0,05",,"1016,5666666667",,41,"1679,5",,"3,875","197,6666666667",,,"0,25",,,"26,625",,,"39,875",,,"35,9","2,25",,"8,3333333333","0,2","0,6666666667","3,8","2,06","0,5","7,125",,,,,,,,,,,,,,,,,
zaadolie,,aam,"157,75","157,78",,"5782,42","5782,35",,"1269,18","1269,20",,"5624,67",,,"4051,2","120,8333333333","3,5","458,6666666667",,"0,25","22,75",,"0,1","675,8125",,,,,,"4,7",,"0,1666666667","20,6666666667",,,,,,,,,"16,0833333333",,"3,45",12,,"2,125","1,1",,"0,45",109,,,"0,75","878,95","0,1666666667","5,0333333333","8,25","0,25","26,1666666667","46,3","19,4",8,20,"39,1666666667","68,4166666667","14,1","1,25","71,25","5,5208333333","87,5","20,5",87,,"210,25","88,25"
visolie,,ton,"1315,88","1315,88",,"50,92","50,92",,"923,47","923,47",,"-1264,96",,93,5,3,,,,"20,6666666667",,,"1,8",,,"480,25",,"300,75","43,8333333333",,,"105,5833333333",,,"225,6666666667",,,"1,8333333333",,,24,,,,,,"11,85",,,"3,5","30,3333333333",,,,"10,8333333333","0,125",2,,18,,,,,3,"160,1","11,3333333333","99,72","89,6666666667","1,75","428,5","27,625","0,5","74,6666666667","8,375",,3
draf en hef van het bier,,gulden,"5953,00","5953,00",,"20954,00","20954,00",,"3,00","3,00",,"15001,00",,,,,1,3,,,1,,,14281,,,,,,87,,4,2168,,,,,115,100,,,3778,,5489,38,,54,458,,190,5,,,,,,,,,6,,31,29,,18,,,51,,3,,,,,,
draf en hef van het bier,,pond,"1355,00","1355,00",,"494,00","494,00",,"0,00","0,00",,"-861,00",,,,,3,,,,,,,,,,,,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352,28,
"papieren afbeeldingen, prenten en landkaarten",,pond,"10853,56","10853,56",,"1261,25","1261,25",,"396,00","396,00",,"-9592,31",,"528,0625","523,5",,"1594,5","164,25",,"1400,5",,,1954,,,385,,216,20,105,,278,"8,5",,97,64,,37,15,,,,,"201,5",,,"821,5",33,,"1099,75",260,,72,,180,47,15,,"1390,5",22,,525,50,,1,,,48,,,40,,,"313,25",1,
"papieren afbeeldingen, prenten en landkaarten",,gulden,"25,00","25,00",,"12058,00","12058,00",,"464,00","464,00",,"12033,00",,,99,464,,63,,,,,,11786,,,,,,15,,3,12,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,15,,,,,
perkamenten afbeeldingen,,pond,"42,00","42,00",,"45,00","45,00",,"0,00","0,00",,"3,00",,,,,"18,5",,,"23,5",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
muziekinstrumenten,,gulden,"78,00","78,00",,"0,00","0,00",,"150,00","150,00",,"-78,00",,,,,,,,,,150,,,,,,,,,,70,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instrumenten (wiskunde),,gulden,"194,00","194,00",,"9,00","9,00",,"216,00","216,00",,"-185,00",,,,,69,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,125,,,,,
instrumenten (optica),,gulden,"326,00","326,00",,"137,00","137,00",,"0,00","0,00",,"-189,00",,19,,,,9,,30,,,,,,,,,,,,,,,,,,,,,,,,12,,,3,,,54,,,,,,,,,96,128,,19,,,20,,,,,,40,,,33,,
bassen en bassons,,aantal,"14,00","14,00",,"4,00","4,00",,"0,00","0,00",,"-10,00",,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,4,1,,,,,,,,,,,,2,,,,,2,,,6,,,,,,,,
orgels,,aantal,"1,00","1,00",,"2,00","2,00",,"1,00","1,00",,"1,00",,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
orgels,,gulden,"100,00","100,00",,"1100,00","1100,00",,"60,00","60,00",,"1000,00",,,,,,,,100,600,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,
violen,,aantal,"247,00","247,00",,"22,00","22,00",,"26,00","26,00",,"-225,00",,1,1,,16,7,,24,,,1,6,,6,,,,,,1,4,,,,,2,,,,,,5,,,139,,,3,,,,,25,,,,,4,1,1,,,10,,,22,,,16,,,,,
blaasinstrumenten (hout),,aantal,"33,00","33,00",,"9,00","9,00",,"0,00","0,00",,"-24,00",,,4,,,,,4,,,,,,1,,,,,,,,,,,,,,,,1,,15,,,6,1,,,3,,,,,,,,,,,,,,7,,,,,,,,,,,
blaasinstrumenten (koper),,aantal,"4,00","4,00",,"0,00","0,00",,"2,00","2,00",,"-4,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2
"klavecimbels, psalters en spinetten",,aantal,"22,00","22,00",,"16,00","16,00",,"11,00","11,00",,"-6,00",,,11,1,2,,,1,1,,,,,4,,,,,,,,,4,,,,1,,,,,1,,,,,,,,,2,,9,,,,4,1,,2,1,,2,1,,,,,,,,,,1
"klavecimbels, psalters en spinetten",,gulden,"1905,00","1905,00",,"790,00","790,00",,"160,00","0,00",0,"-1115,00",TBXL 160 <> 0 (vergeten),,672,,65,,,50,10,,,,,650,,,,,,,,,700,,,,17,,,,,13,,,,,,,,,50,,,,,,262,29,,70,50,,45,12,,,,,,,,,,
harpen en gitaren,,aantal,"25,00","25,00",,"9,00","9,00",,"4,00","4,00",,"-16,00",,7,5,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,8,2,,1,1,,,,,,,,1,1,,1,,,1,,2,,,,,,1,,,
serinetten,,aantal,"5,00","5,00",,"2,00","2,00",,"0,00","0,00",,"-3,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,
riet voor dakbedekking,,kar,"1546,08","1546,08",,"77,00","77,00",,"0,00","0,00",,"-1469,08",,,6,,,3,,53,,,175,,,"885,5",,,"98,5",3,,157,,,34,,,"38,25",5,,"104,8333333333",,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,
riet voor dakbedekking,,bos,"9087,00","9087,00",,"3169,00","3169,00",,"0,00","0,00",,"-5918,00",,,,,,,,500,,,,,,6800,,,420,2785,,1352,,,,,,,,,,,,,,,,,,,50,,15,280,,,,,,54,,,,,,,,,,,,,,,,
riet en stro (bewerkt),,gulden,"1678,00","1678,00",,"702,00","702,00",,"0,00","0,00",,"-976,00",,,,,261,,,,,,3,,,329,,,,,,,11,,,,,,,,,,,,550,,7,3,,152,68,,,,,,,,,,,195,20,,,,,20,,,666,45,,45,5,
ivoor (ruw),,pond,"1471,00","1471,00",,"356,00","356,00",,"0,00","0,00",,"-1115,00",,,,,,,,,,,,,,225,,,,356,,1210,,,,,,23,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivoor (bewerkt),,pond,"2561,56","2561,56",,"91,00","91,00",,"320,00","320,00",,"-2470,56",,"21,5",4,,"1,5",,,25,,,"1069,5",,,891,,,57,67,,250,,,,,,,,,159,,,28,,,"46,875",20,,11,,,,,,,,,,,,"1,1875",,,,,320,,,,,,,,,
instrumenten (geneeskunde),,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
melk (doux),,kwarteel,"0,00","0,00",,"2,25","2,25",,"0,00","0,00",,"2,25",,,,,,,,,,,,,,,,,,"2,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karnemelk,,gulden,"42,00","42,00",,"172,00","172,00",,"0,00","0,00",,"130,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,42,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wol (ruw of niet gewassen),,pond,"200003,50","200003,50",,"129510,75","129510,75",,"886994,50","886994,50",,"-70492,75",,,,,3980,480,,,,,,,,,,,41624,3,,99559,,713273,,,,,,,21122,,,,,,,,,"1,5",69,,5826,,43484,1328,,13986,"177,5",47,42600,712,,4800,4945,"21204,75",26363,8859,16469,"17933,5","1960,5",89912,18145,9909,1326,6410
wol (gewassen),,pond,"40352,00","40352,00",,"59869,51","59869,50",,"110258,00","109482,00",,"19517,51",,100,18,,18845,,,8891,8,,,,,,,,,,,,,,,,,,8,,,,,3584,28804,,,5395,,3120,17,,700,,103407,607,,1141,38,,200,,1189,,22,86,,,9497,,50,"14847,5",4734,4395,,
wol (gekamd),,pond,"11315,50","11315,50",,"135508,50","135508,50",,"8199,00","8199,00",,"124193,00",,,,,,"73,5",,,,,7978,4929,880,,,,,,,,,,,,,,,,,,,400,51941,,186,75410,,1649,,,"395,5",36,7305,707,73,14,,661,,,15,,,2370,,,,,,,,,,
wol (spaanse),,pond,"575116,50","575116,50",,"6312,00","6312,00",,"751567,00","751567,00",,"-568804,50",,,,575176,,,,,,,,,,,,,810,,15230,,,,133771,72,71596,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,"86,5",,,440445,6240,89565
ognelins et crottelins,,pond,"4310,00","4310,00",,"0,00","0,00",,"0,00","0,00",,"-4310,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,180,,,,,,,,,4000,,,,,,,,,100,,,,,
scheervlokken,,pond,"11240,00","11240,00",,"3,00","3,00",,"55959,00","55959,00",,"-11237,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11225,,,,,,,"1,5",,,,,,"1,5",,,,,,,,15,,235,,,,,,55724,,,
queus (gueues) et pennes,,pond,"834,00","834,00",,"2546,00","2546,00",,"141,00","141,00",,"1712,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,25,,,,,,,,42,230,75,,,,53,50,,125,,22,50,60,,544,2181,44
lantaarns,,aantal,"230,00","230,00",,"0,00","0,00",,"2,00","2,00",,"-230,00",,,,2,2,,,188,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,24,,,,,,,,,1,,,8,,
lantaarns,,gulden,"246,00","0,00",,"0,00","0,00",,"0,00","0,00",,"-246,00",niet in 5776 of 5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groenten (allerlei),,kar,"10,00","10,00",,"140,00","140,00",,"0,00","0,00",,"130,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,125,,,,,,15,
groenten (allerlei),,zak,"2171,75","2171,75",,"1584,25","1584,25",,"104,50","104,00",,"-587,50",,,7,,"2,5",,,"27,5",,,"52,75",,,,,,19,,,"29,5",,,,,,"2,25",,,"64,4166666667",,,"0,25",,"8,5","10,5","4,75",,"60,5",194,,"8,5833333333",3,7,12,,"2,25",17,"40,5","30,5","18,5",,,"18,25",4,10,"4,5",,5,35,88,31,"1788,75",1243,"9,75"
groenten (allerlei),,gulden,"1353,00","1353,00",,"928,00","928,00",,"949,00","949,00",,"-425,00",,6,36,,,,,498,,,6,774,,12,,,3,8,,9,33,,58,,,2,,,,3,,1,,,28,5,,30,,,60,5,4,8,2,1,144,,44,38,,,50,,25,17,,284,340,62,584,43,,7
"kool, kabuiskool, bloemkool...",,aantal,"33049,00","33049,00",,"435,00","435,00",,"1740,00","1740,00",,"-32614,00",,,,,,,,60,,,,,,,,,,,,100,,,,,,2708,,,100,,,,40,,250,,,838,24,,15,,,,,,10,280,160,24199,,1550,900,50,,330,,,3258,8,,281,33,30
asperges,,bos,"143,00","143,00",,"0,00","0,00",,"0,00","0,00",,"-143,00",,15,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,114,,
stoofgroenten (champignons en moriljes inbegr.),,pond,"1590,50","1590,50",,"100,00","100,00",,"0,00","0,00",,"-1490,50",,7,,,110,,,90,,,,,,110,,,,,,100,,,,,,,,,,,,,,,"314,5",25,,,50,,,,,,,,,,,759,25,,,,,,,,,,,100,,
peulvruchten,,pond,"703,00","703,00",,"0,00","0,00",,"0,00","0,00",,"-703,00",,,,,,,,10,,,,,,,,,,,,,,,,,,350,,,,,,20,,,320,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
truffels,,gulden,"923,00","923,00",,"89,00","89,00",,"0,00","0,00",,"-834,00",,15,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,905,,,,,,,,,,,,,,,,,,,,,,,,,,
wijnmoer,,aam,"166,83","166,83",,"35,25","35,25",,"0,00","0,00",,"-131,58",,,2,,,,,,,,,,,61,,,"19,3333333333",3,,,,,,,,,,,"8,5",,,,"4,5",,,,,48,"0,25",,"4,5",,,"0,75",,,,"1,5",,,,,3,24,,"19,25",,,2,,,"0,5",,
kurk (hout),,pond,"2979,00","2979,00",,"0,00","0,00",,"5077,00","5077,00",,"-2979,00",,,,5050,,,,,,,,,,,,,,,,1034,,12,,,,1519,,,,,,,,,150,,,,,,,,,20,,,,,,105,,,50,,,,,,,,15,101,,
kurken stoppen,,gulden,"9799,00","9799,00",,"2756,00","2756,00",,"12,00","12,00",,"-7043,00",,11,10,,14,99,,,40,,12,856,,7365,,,1024,,,570,126,,264,,,55,,,,,,10,,,240,168,,4,1360,,2,59,12,3,30,,15,,,149,6,,,,,,,,20,2,,41,,
"vlas (groen, niet geslagen of geroot)",,kar,"47,50","47,50",,"0,00","0,00",,"0,00","0,00",,"-47,50",,,,,,,,,,,,,,,,,8,,,3,,,,,,,,,"21,5",,,1,,,1,,,,,,,,,,,,,,,8,,,5,,,,,,,,,,,
"vlas (groen, geroot of niet geroot)",,pond,"1302,00","1302,00",,"1559569,00","1559569,00",,"0,00","0,00",,"1558267,00",,,,,,,,,,,,,,,,,,,,1302,,,,,,,,,,,,,847309,,,289945,,,75900,,,,,,,,,,,,346415,,,,,,,,,,,,,
"vlas (droog, niet geroot)",,kar,"29,92","29,92",,"0,00","0,00",,"0,00","0,00",,"-29,92",,,,,,,,,,,,,,,,,"1,5",,,"18,25",,,,,,,,,"10,1666666667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vlas (ruw, in bulk of niet gekamd)",,pond,"24207,00","24207,00",,"125875,50","125875,50",,"8109,00","8109,00",,"101668,50",,,2251,,,,,25,,,,,,7628,,,1026,,,1967,,,,,,,"3349,5",,1740,,,1253,15226,2178,122,1156,,1672,51980,,44,,12,,,,,,,160,51893,,6154,20,199,1006,,5641,,,,1410,,79
vlas (gekamd),,pond,"1373,00","1373,00",,"314760,50","314760,50",,"59449,50","59449,50",,"313387,50",,,14166,,17,,,,,,,26757,,,,,,,,5,,,,,,,,,44,,,19,1558,,14,,,"229,5",,,204,,10636,19,,4277,26,162,,,,,"347,5",2166,72,102,5,39653,171,,4690,175,"269946,5","121,5"
vlas (kamvlokken),,pond,"37516,50","37516,50",,"0,00","0,00",,"18509,00","18509,00",,"-37516,50",,,,,,,,,,,,,,,,,,,,,,,,,,498,,,1380,,,16318,,,"206,5",,,14280,,,4077,,18192,,,200,,,,,,,101,,,465,,84,6,,33,185,,
loodglit,,pond,"1501,00","1501,00",,"0,00","0,00",,"1543,00","1543,00",,"-1501,00",,,,,,,,,,,,,,1347,,643,104,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,
boeken (ingebonden),,pond,"54505,56","54505,56",,"22642,50","22642,50",,"4115,50","4115,50",,"-31863,06",,2439,"5612,5",96,4353,80,,960,2831,,331,5887,,"6051,5",,26,"395,5",1178,,"7527,5",1223,,814,2328,,266,242,,264,252,,16075,,,"3946,75",160,,"2049,5",137,,1,,1303,1235,38,110,"1761,5",645,461,1022,1634,,2721,77,1710,918,,277,"816,25",65,"72,5","558,0625",253,60
boeken (niet ingebonden),,pond,"97481,81","97481,81",,"45976,06","45976,06",,"144639,00","144639,00",,"-51505,75",,8616,17972,58172,29568,1662,847,4291,323,,409,12763,,11970,,95,"1040,5",1885,,"4361,5",637,,"380,5",470,,196,213,,189,130,,"13666,5",235,585,"8145,5",527,,"1865,5",309,,"24,5",20,1245,53,"7,5",,2068,792,282,1801,1633,,4643,3861,1183,"2083,5",771,7772,1112,879,73208,"997,8125","886,5625",1250
lompen,,pond,"669866,00","669866,00",,"424772,50","424772,25",,"181948,00","181948,00",,"-245093,50",,,,,,,,,,,,,,,,,306,10123,,,,,,,,,,,,,,17460,2500,22952,121064,"73,25",106585,,,,,,,8900,,1400,200,,20855,508106,412046,12306,13800,,17100,,,750,,,,30,30,
reiskoffers,,aantal,"2,00","2,00",,"1,00","1,00",,"0,00","0,00",,"-1,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,
manden (teen),,aantal,"4590,00","4590,00",,"5109,00","5109,00",,"604,00","604,00",,"519,00",,,,,195,,,,,,,577,,,,,7,239,,1,26,,,,,31,,,4,4177,,448,,48,96,,,3,1,,,,3,25,9,,852,,239,103,14,230,38,16,32,12,,2,153,,,2622,50,50
wannen,,aantal,"2083,00","2083,00",,"325,00","325,00",,"136,00","136,00",,"-1758,00",,,235,,161,,,,2,,,,,,,,,,,,,,,,,81,,,,70,,7,,,802,,,23,,,137,,,,1,,44,,24,657,,,,8,,74,1,100,1,8,12,96,,
vlechtwerk in hazelaar (mandriers),,gulden,"252,00","252,00",,"517,00","517,00",,"1232,00","1232,00",,"265,00",,,9,,,3,,2,,,,,,,,,,110,,,183,,,,,,,,,158,,,,,6,,,1,9,,,,160,,,,,20,,,,,42,25,1070,,,,73,,2,128,,
koopwaar (allerlei),,pond,"0,00","0,00",,"250,00","250,00",,"4232700,50","4232700,50",,"250,00",,,250,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95175,,,,,,686834,,,,,,"31633,5",,,54061,,,864634,,,2491885
