1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
zwavel en zwavellonten,souphre et meches,pond,"166715,00","166715,00",,"9169,00","9169,00",,"10266,00","10266,00",,"-157546,00",,,210,,201,,,50,,,,908,,42281,,,69406,,,25775,6,,20230,,497,4191,,,50,,,,,,209,,,76,,,13,,36,,5,,180,8000,,1200,,,2418,,9683,4,,,426,,50,5,40,
tenten en zeilen,tentes et voiles,pond,"6702,00","6702,00",,"0,00","0,00",,"0,00","0,00",,"-6702,00",,,,,,,,,,,375,,,3804,,,1268,,,590,,,200,,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geschut (ijzer),canons de fer,aantal,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bommen en granaten,bombes grenades et boulets,aantal,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buskruitkoeken,biscuits de munition,ton,"0,00","0,00",,"2,69","2,69",,"0,00","0,00",,"2,69",,,,,,,,,,,,"0,25",,,,,,"2,4375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baleinen (niet gezaagd),baleines non sciées ou en fanons,pond,"16614,00","16614,00",,"300,00","300,00",,"0,00","0,00",,"-16314,00",,,,,,,,,,,,,,15788,,,781,250,,,,,,,,,,,45,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
baleinen (gezaagd),baleines sciées ou coupées,pond,"39861,00","39861,00",,"582,25","582,25",,"1400,50","1400,25",,"-39278,75",,"24,5",50,,,,,"184,25",,,1922,49,,20701,,,10452,,,2404,40,,110,,,2025,,,1445,,,,10,,3,140,,22,,,,"3,25",,,22,11,100,"3,5","19,25",1,250,,"40,75","14,5",1312,75,,33,"74,5",,25,277,,
speelballen,balles à jouer,aantal,"21849,00","21849,00",,"14955,00","14955,00",,"1100,00","1100,00",,"-6894,00",,,1560,,,,,21600,,,,250,,,,,,,,,,,,,,,,,,55,,,6750,,,,,,1190,,,3000,800,,2150,,24,,,100,,,,,,,,,,,,125,,300
bombazijn,basin,stuk,"74,83","74,83",,"1696,08","1696,08",,"154,00","154,00",,"1621,25",,"4,5","127,833",147,,,,10,,,,,,,,,,"10,5",,,1348,,,16,,,27,,,,,,9,,"0,333",83,,,"23,5",,,1,,,2,,1,"7,25",,,34,,19,1,6,7,,,1,,1,32,6,
bombazijn,basin,el,"6705,75","6705,75",,"997,00","997,00",,"1480,00","1480,00",,"-5708,75",,"767,25","12,5",,151,54,,2120,8,,856,,,63,,,,,,,32,,542,,,17,,,60,,,88,,,,,,,"559,5",,,129,162,,26,18,8,158,,,,,77,,,116,,1292,80,,8,"1760,5",18,
boten,batteaux,aantal,"18,00","18,00",,"61,00","61,00",,"4,00","4,00",,"43,00",,,,,,,,,,,2,,,6,,,,,,,,,1,,,,60,,2,,,,,,,,,2,,,,,,,,,1,,,,,,4,1,4,,,,,,,,,
boten,batteaux,gulden,"11174,00","11174,00",,"0,00","0,00",,"330,00","330,00",,"-11174,00",,,,,,,,,,,1900,,,6300,,,,,,,,,788,,,,,,700,,,,,,,,,900,,,,,,,,,200,,,,,,386,,330,,,,,,,,,
schuiten,barquettes et nacettes,aantal,"40,00","40,00",,"175,00","175,00",,"4,00","4,00",,"135,00",,,1,,,,,,,,,,,,,,5,,,,,,,,,3,1,,,,,1,,,2,,,5,,,,,,,,,9,3,1,,,,14,169,3,,,,1,1,,,,
schuiten,barquettes et nacettes,gulden,"3051,00","3051,00",,"2393,00","2393,00",,"234,00","234,00",,"-658,00",optelfout verbeterd,,100,,,,,,,,,,,,,,865,,,,,,,,,930,30,,,,,20,,,25,,,108,,,,,,,,,951,134,200,,,,132,2119,34,,,,20,10,,,,
paarden,chevaux,aantal,"3875,00","3875,00",,"13763,00","13763,00",,"3476,00","3476,00",,"9888,00",,3,1629,,161,691,,1120,14,602,108,25,,8,,,72,846,,60,34,,3,,12,17,107,,74,203,,53,182,,44,641,,86,3050,,50,66,99,89,488,2,180,413,635,42,455,,207,3408,1213,134,230,157,332,706,753,1032,575,3
veulens,poulains,aantal,"1454,00","1454,00",,"3317,00","3317,00",,"120,00","120,00",,"1863,00",,,163,,6,29,,35,2,,10,2,,,,,60,5,,69,12,,,,,2,497,,28,1,,8,29,,28,103,,14,295,,4,1,,14,38,,46,14,,33,1285,,194,258,44,318,289,64,522,252,11,63,42,1
ossen en stieren,bœufs et taureaux,aantal,"1121,00","0,00",,"6172,00","0,00",,"108,00","0,00",,"5051,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koeien,vaches,aantal,"1612,00","1612,00",,"8219,00","8219,00",,"131,00","131,00",,"6607,00",,,,,164,35,,,,,,15,,,,,,9,,,555,,,,,2,1353,,,69,,,2031,,,240,,1,,,,239,1,,19,,8,21,,,1310,,170,625,55,476,275,56,46,583,1,745,840,18
vaarzen,boeuftins et genisses,aantal,"465,00","465,00",,"1862,00","1862,00",,"27,00","27,00",,"1397,00",,,,,,2,,,,,,,,,,,,5,,,62,,,,,,185,,,27,,,181,,,10,,,,,,26,,,12,,5,4,,,257,,170,255,8,147,385,14,94,189,,49,262,5
kalveren,veaux,aantal,"237,00","237,00",,"5012,00","5012,00",,"53,00","53,00",,"4775,00",,,,,80,4,,,,,,8,,,,,,,,,2,,,,,,159,,,292,,,1052,,,,,,,,,334,,,1,,3,13,1,,99,,53,582,7,48,148,12,2,359,29,51,1959,4
schapen en ooien,moutons et brebis,aantal,"18378,00","18378,00",,"52530,00","52530,00",,"6920,00","6920,00",,"34152,00",,,,,4456,83,,,,,,,,,,,171,,,85,,,1,,,,848,,,82,,11,2849,,,3724,,215,2822,,25,1449,4413,366,62,259,1751,763,19,,1820,,2015,21560,14,3704,2711,1146,4009,12288,1007,1569,1469,62
lammeren en geitelammeren,agneaux et cabrits,aantal,"2516,00","2516,00",,"3774,00","3774,00",,"1388,00","1388,00",,"1258,00",,,,,1,,,,,,,,,,,,69,,,,,,,,,,52,,,49,,,140,,,17,,4,13,,,,1,5,2,,67,6,,,54,,321,891,64,1711,1791,1320,315,754,,23,5,3
varkens,porcqs,aantal,"22507,00","22507,00",,"41705,00","41705,00",,"3214,00","3214,00",,"19198,00",,,3,,460,65,,,1,,,230,,,,,,80,,,5,,,2,,4,96,,,201,,706,844,,2641,260,,650,206,,286,39,202,333,294,416,413,255,91,1077,1161,,635,9371,664,439,6960,464,3615,20354,1283,11248,1278,94
speenvarkens,cochons de lait,aantal,"367,00","367,00",,"1540,00","1540,00",,"34,00","34,00",,"1173,00",,,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,6,,4,33,,30,158,,26,15,,69,9,,61,81,12,83,204,4,14,303,,24,132,,35,38,7,21,552,11,,,
bokken en geiten,boucs et chevres,aantal,"124,00","124,00",,"1337,00","1337,00",,"41,00","41,00",,"1213,00",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,2,,,,3,,,,,49,1100,21,33,125,11,13,103,6,27,3,1
ezels en muildieren,anes,aantal,"52,00","52,00",,"14,00","14,00",,"0,00","0,00",,"-38,00",,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,,3,1,,,,,,,,,,,9,,,18,4,,4,,,2,1,,,3,
