Product,Original French name,eenheid,pagina RG,Import 1788,Export 1788,Transit 1788,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Sint-Niklaas Import,Sint-Niklaas Export,Sint-Niklaas Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Herve Invoer,Herve Uitvoer,Herve Transit
zaadolie,huile de semences,aam,54,"281,75","263,63","3250,58",0,"121,5","2460,33",0,"53,5",0,"0,25",0,0,0,"0,13",0,"0,17",0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,"5,33",72,"0,25","5,5",1,0,"0,75",0,"56,5","0,25",0,0,0,0,"576,25",0,0,"18,25",1,3,0,31,0,10,"204,75",0,8,30,2,"8,5","2,25","10,5","112,5"
visolie,huile de poissons,ton,54,"2041,5","132,58","1660,58",85,48,"560,38",0,0,0,"17,75",0,0,"23,5",8,0,"687,5",0,"315,63",2,0,0,"214,5",0,113,"46,75",34,"52,5",361,0,"8,25","17,5",0,0,13,0,0,0,0,0,30,0,0,"8,5","21,75",0,0,0,15,0,"3,83","0,25","22,33",0,0,"103,5",0,40,"220,67","12,75","212,33","104,75","4,25","340,25","83,25",0,3
draf en hef van het bier,jet et lie de bierre,gulden,55,2703,13487,25,0,0,0,0,0,0,0,3,0,0,7154,0,0,21,0,0,3338,0,0,624,0,1,2075,0,0,0,0,0,9,0,1,9,0,1400,182,0,298,54,0,213,0,0,0,0,0,0,0,0,3,0,0,6,0,0,104,3,25,50,0,0,627,15,0
"papieren afbeeldingen, prenten en landkaarten","images de papier, estampes et cartes géographiques",pond,55,"16383,25","3744,25","4735,5","4827,75","2303,75",3808,"5275,5",67,0,2069,0,0,114,0,437,142,0,0,0,0,0,8,0,0,45,53,0,587,52,0,1,256,0,391,420,0,"33,5",0,0,"1037,5",247,0,745,259,300,49,0,70,67,0,0,429,50,"0,5",0,0,0,270,0,20,0,0,0,292,"36,5",100
"papieren afbeeldingen, prenten en landkaarten","images de papier, estampes et cartes géographiques",gulden,55,1792,3869,3,0,100,0,77,15,0,0,0,0,0,3652,0,376,0,0,0,0,0,900,6,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,30,0,0,0,0,0,0,0,0,0,0,0,151,0,0,200,0,0,0,0,3,22,15,0
perkamenten afbeeldingen,images de parchemin,pond,55,"24,25",0,0,0,0,0,"20,75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"instrumenten voor de wiskunde, geneeskunde ...","instrumens de mathématique, chirurgie etc",gulden,55,282,236,750,0,0,750,106,0,0,83,0,0,25,0,0,0,0,0,0,0,0,0,36,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,180,0,0,0,0,51,0,0
muziekinstrumenten,instrumens de musique,aantal,55,188,62,6,0,0,0,22,4,0,150,1,0,0,8,0,1,0,0,0,19,0,1,6,0,1,3,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,4,3,0,0,0,1,0,9,3,2,1,0,0,4,0,0,0,2,0,3,0,0,0,0
muziekinstrumenten,instrumens de musique,gulden,55,8498,3517,13201,2040,894,12871,118,0,0,274,12,0,0,0,0,15,0,0,0,180,0,16,760,0,60,0,0,67,0,0,8,0,0,18,6,0,361,0,0,238,0,20,413,0,0,0,20,0,0,4,0,1837,1441,8,100,100,0,2879,100,102,0,0,200,54,0,0
riet voor dakbedekking,joncs à couvrir,kar,55,3610,"478,5",2,0,0,0,0,0,0,16,0,0,121,1,0,2629,0,0,79,0,0,47,255,0,256,1,0,79,1,0,139,2,0,224,104,0,14,88,0,0,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,5",0,0,0,0,6,0,2
riet voor dakbedekking,joncs à couvrir,bos,55,8022,111,0,1,7,0,0,0,0,320,0,0,0,1,0,7400,0,0,0,0,0,0,6,0,300,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
riet en stro (bewerkt),joncs ouvré  ,gulden,56,2234,130,4,0,113,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,38,0,0,0,0,0,0,0,0,0,0,0,2168,0,4,0,0,0,0,0,0,0,0,0
ivoor (ruw),ivoir brut,pond,56,"1430,5",83,4952,"112,5",63,1296,0,0,0,0,0,0,114,0,3656,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
ivoor (bewerkt),ivoir travaillé,pond,56,"2548,88","5,5","12,25","95,75",1,0,158,0,0,"69,25",0,0,"1461,5",3,0,335,0,0,51,0,0,36,0,0,0,"1,5",0,55,0,0,0,0,0,"23,5",0,0,153,0,12,"95,75",0,0,"12,13",0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
juifs,juifs qui payent le droit corporel à la sortie,aantal,56,20,1454,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,2,1349,8,18,82,0,0,0,0
wol (niet gekamd),laine non peignée,pond,56,607734,"162354,5",140151,0,0,0,62311,0,8319,51159,0,0,16897,0,0,0,0,0,45831,"0,5",0,44838,0,0,21825,133,0,0,0,0,0,0,0,113,0,1100,13159,0,0,12075,0,36,48312,2468,0,20408,0,65655,32321,0,6757,24749,10,0,769,110608,10916,10326,20665,2050,8334,"5852,5",37948,194307,"22617,5",7370
wol (gekamd),laine peigné,pond,56,12754,"42005,5",163402,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8027,0,416,"0,5",0,10707,8941,0,0,0,1323,0,0,240,315,0,0,1195,20390,157870,0,0,0,41,1947,3969,20,0,0
wol (spaanse),laine d'Espagne,pond,56,870886,158146,"2875955,5",16967,0,"1260110,5",0,0,0,0,0,0,8044,0,11125,40,0,0,0,0,0,0,0,0,84474,0,1074472,110465,0,220781,0,0,0,0,0,0,4537,0,0,0,0,0,8590,0,0,0,0,0,0,0,0,0,0,0,58196,0,306567,0,0,0,0,0,0,579573,158146,2900
gueues et pennes,"gueues, pennes et noppes",pond,56,211199,284,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,5113,0,0,6500,0,0,0,0,0,29186,0,0,0,0,0,1455,0,0,4025,0,0,864,0,178,100,0,438,163956,194,0
lantaarns,lanternes,aantal,57,27,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lantaarns,lanternes,gulden,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
groenten (allerlei),legumes mellées,zak,57,"2378,63","2327,75","424,75",0,1,0,"20,75",1,0,"62,5",0,0,"8,5",0,0,"21,5",0,0,"50,5",0,0,6,49,0,"101,5",0,0,2,0,0,"20,63",0,0,23,"142,75",0,7,49,0,15,112,0,"29,75",16,0,62,1,"104,75","11,5","2,5","8,25",133,"318,5","35,25",699,"433,5",182,6,"3,5","54,5",0,0,0,"1098,5",1198,40
groenten (allerlei),legumes mellées,gulden,57,2093,1593,2945,250,0,0,0,0,0,3,0,0,0,0,0,375,0,0,2,0,0,7,27,0,0,4,0,0,0,0,20,0,0,70,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,8,0,9,0,0,694,75,1122,472,0,13,140,1310,456,37,165,1354
"kool, kabuiskool, bloemkool...","choux-fleurs, cabus et artichoux",aantal,57,65290,1331,610,0,0,0,100,0,0,0,0,0,25,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5022,0,0,32223,17,200,163,0,0,2685,0,0,65,0,0,0,0,0,250,0,0,14525,600,150,0,0,0,1050,0,0,0,0,0,9160,714,260
asperges,asperges,bos,57,83,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,24,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selder,celeris,plant,57,50,0,100,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
zeevenkel,percepierre,pond,57,2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stoofgroenten (champignons en moriljes inbegr.),legumes en adobe,pond,57,2611,377,120,444,178,0,891,0,0,585,0,0,18,0,0,548,0,0,0,0,0,0,12,0,31,66,0,5,0,0,6,0,0,0,15,0,6,0,0,77,96,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,120,0,0,0,0,0,0,0,0,0
truffels,truffes,gulden,58,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,72,0,0,62,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wijnmoer,lie de vin,kwarteel,58,"424,75","3,17","3,33",3,0,2,0,0,0,"6,33",0,0,0,"1,5",0,221,0,0,45,0,0,"15,33",0,0,0,0,0,0,"0,67",0,1,0,0,0,0,0,0,0,0,25,0,0,0,1,0,"57,5",0,0,"0,42",0,0,0,0,0,1,0,0,"37,83",0,"1,33",10,0,0,"1,33",0,0
kurk (hout),liege en bois,pond,58,44147,16,1362,0,0,1102,0,0,0,0,0,0,29060,0,0,0,0,0,0,0,0,0,0,0,5200,0,0,4995,0,0,4730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,4,0,225,0,0,0,141,16,35
kurk (portugal en spanje),liege de Portugal et Espagne,bladen,58,7994,66,0,2804,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3486,12,0,1260,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kurk (portugal en spanje),liege de Portugal et Espagne,gulden,58,6160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5112,0,0,0,0,0,0,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kurken stoppen,liege en bouchons,gulden,58,6413,3708,236,195,263,60,0,37,0,0,15,0,0,2198,0,8,0,0,0,2,0,253,46,0,432,103,0,1008,137,0,127,0,0,243,5,0,1670,0,0,1943,1,0,17,637,0,0,19,0,0,13,0,255,208,0,29,0,4,79,0,147,2,0,25,182,4,0
"vlas (groen, niet geslagen of geroot)",lin verd non battu,kar,58,"220,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,"3,5",0,0,21,0,0,0,0,0,40,0,0,"1,5",0,0,"0,5",0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vlas (groen, geroot of niet geroot)",lin verd roui et non roui,pond,58,13961,608336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518376,0,13961,89960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vlas (ruw, in bulk of niet gekamd)",lin crû en masse,pond,58,98232,14485,13066,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,37436,100,0,20764,0,0,11859,0,0,2802,80,0,0,0,0,82,0,3792,4978,0,0,2155,0,0,2408,14280,0,278,0,0,300,0,1605,0,0,0,0,0,0,11513,0,7659,979,0,0,2628,25,10
vlas (gekamd),lin peigné,pond,59,"25740,5",162984,10204,20650,128631,0,8,0,0,10,0,0,6,34181,0,520,0,0,4,0,0,1855,0,0,144,0,0,24,0,0,0,0,0,82,0,0,0,0,0,10,0,0,124,0,0,98,0,5505,158,60,3923,0,110,0,"265,5",2,12,"807,5",0,33,622,0,0,"352,5",0,731
vlas (kamvlokken),etouppes et cordes de lin,pond,59,44844,13313,18931,0,0,0,0,0,0,300,728,0,0,0,0,0,0,0,341,0,0,201,12585,0,0,0,0,0,0,0,0,0,0,3241,0,0,7198,0,0,2470,0,0,15087,0,0,11872,0,18135,162,0,598,25,0,0,40,0,0,953,0,0,2869,0,198,85,0,0
loodglit,litarge,pond,59,51,0,1265,0,0,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boeken (ingebonden),livres liés,pond,59,31620,16705,13580,4637,8148,"1823,5",3391,268,0,263,202,0,2313,2,7400,2397,0,0,0,460,0,1488,2086,484,3611,848,0,1384,42,908,40,127,0,658,2483,3,2808,355,0,2964,40,152,221,0,0,720,0,130,55,90,180,2015,794,80,337,0,550,1391,226,1161,736,17,"708,5",191,517,0
boeken (niet ingebonden),livres non liés,pond,59,"77993,75","94130,5","42195,5","11904,5",67196,"30751,5",30239,171,0,324,61,0,2767,15022,1146,8472,0,0,3,6,0,2193,1821,0,"834,5",2540,13,"101,5",0,18,"20,5",25,0,448,2486,0,1674,314,145,4588,300,385,560,25,20,177,0,0,208,10,104,2125,791,315,"313,5",0,5599,7198,2554,265,"3703,75",5805,3426,"139,5",750,8
lompen,locques,pond,59,804086,614704,742583,0,0,0,0,0,0,0,0,0,0,0,341,1984,0,0,0,0,0,17606,0,0,0,0,0,21200,604799,0,40000,9905,0,482766,0,418283,217976,0,217555,20202,0,11122,0,0,290,0,0,4706,0,0,29900,200,0,13480,1550,0,0,219,0,34666,200,0,12000,183,0,240
reiskoffers,"malles, valises et coffres",aantal,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manden (teen),mandes et berces d'ozieres,aantal,59,1743,486,422,0,0,0,0,0,0,123,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,0,300,0,0,0,0,4,0,0,0,0,0,0,0,0,354,133,93,0,0,0,164,0,72,0,0,0,1083,42,257
wannen,vans à vanner,aantal,60,596,518,4,0,0,0,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,316,0,0,2,0,0,0,0,0,12,0,0,84,0,0,0,43,0,33,2,0,6,6,0,35,466,0,0,0,4,25,0,0
vlechtwerk in hazelaar,ouvrages de mandriers,gulden,60,3241,2437,6329,0,0,0,289,9,0,2,2,0,2,831,0,6,0,0,12,682,0,0,192,0,188,645,0,0,4,0,10,11,0,124,0,452,1154,0,0,134,0,0,94,3,0,124,0,135,139,2,24,55,37,8,182,0,12,160,19,5677,0,0,0,566,0,21
koopwaar (allerlei),marchandises mellées,pond,60,3622,3809,7795166,1787,609,25977,0,0,0,730,0,642000,646,0,6024,0,0,1448,0,0,0,0,0,0,0,0,0,0,0,1480,0,0,0,0,0,0,0,0,2050,0,0,0,9,0,898,0,0,92048,0,0,0,0,0,680900,0,0,833839,0,0,68675,200,950,37326,250,2250,5402501
maskers,masques,dozijn,60,"105,5",0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"9,5",0,0
maskers,masques,gulden,60,814,48,0,521,0,0,152,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,15,0,0
matrassen,matelats,aantal,60,155,78,59,2,3,24,19,18,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,13,0,13,1,0,1,0,0,3,3,0,4,0,0,42,15,0,32,2,0,3,3,29,5,2,1,13,12,0,0,2,0,4,0,0,0,0,0,14,0,1
katoenen wieken voor kaarsen,cotton en meches pour chandelles,pond,60,"2016,25","39036,5",4483,94,377,0,0,140,0,0,855,0,0,23983,0,0,0,0,0,40,0,0,"9,5",0,0,"66,5",0,20,0,0,0,0,0,0,646,0,0,100,0,0,60,0,25,904,0,0,1770,137,0,234,0,0,"766,5",0,"46,5",0,0,1646,0,4346,"60,25",133,0,"124,5",8952,0
kleinigheden,menutés,gulden,60,16309,10460,4000,70,403,67,1131,25,0,174,14,0,33,483,0,59,0,0,860,49,0,136,201,0,24,72,0,41,275,0,81,320,0,163,712,0,304,599,0,2191,1051,0,827,641,20,7,9,75,19,185,1,339,556,32,900,3122,312,4610,676,899,2757,494,2496,1583,573,98
galanteriewaren van nuremberg,merceries de Nuremberg,pond,61,24257,,,0,0,0,0,0,0,24257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
galanteriewaren (gewone),merceries mellées,pond,61,"184323,5",55473,"152508,25","16505,25","23986,5","78109,25","87875,5",10086,1530,14615,1613,0,"4733,5",4665,0,1249,0,0,23,1094,0,"1380,5",940,0,19895,194,0,9369,56,362,"82,25",16,0,"3046,25","654,5",280,"3542,75",106,125,9601,1983,0,"1424,5",570,0,144,14,"7635,5","164,5",44,40,1878,7971,158,"1086,5",218,"1845,5","1569,5",957,3634,1112,0,58719,"5026,5",305,70
galanteriewaren (gewone),merceries mellées,gulden,61,76043,10673,11310,1352,35,1383,505,648,0,1900,22,0,203,4370,130,49,0,0,28,84,0,242,49,0,0,702,0,1227,625,0,1101,8,0,20,1,120,0,0,0,446,271,0,17,8,3,0,0,638,0,0,64,28,2396,0,2042,10,298,62354,1209,5724,4527,235,2950,2,0,0
snuifdozen (karton),tabatieres de carton,dozijn,61,"7580,17","49,67","40,92",130,0,0,0,0,0,6360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,42",0,6,18,0,0,0,0,"17,67",4,0,16,0,33,"676,33",0,0,"176,92",0,0,"24,5",0,0,0,0,0,"106,08","1,67","6,67",0,"2,42","1,25","43,58","14,17",0,0,1,0,"23,08",0,0
snuifdozen (karton),tabatieres de carton,gulden,61,16542,191,31,555,3,0,6,0,0,12926,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,22,0,18,52,0,10,0,0,77,15,0,0,0,0,1542,0,0,603,84,0,43,0,0,0,0,0,285,6,30,10,0,1,420,0,0,0,0,0,47,0,0
snuifdozen (gevernist hout),tabatieres de bois vernis,aantal,61,1474,36,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,36,0,0,0,0,0,0,0,0,0,0,886,0,45,504,0,0,72,0,0,0,0,0,0,0,0
snuifdozen (gevernist hout),tabatieres de bois vernis,gulden,61,315,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,148,0,16,143,0,0,11,0,0,0,0,0,0,0,0
waaiers en papier voor waaiers,eventails et papiers dito,aantal,61,28,84,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waaiers en papier voor waaiers,eventails et papiers dito,gulden,61,41,8,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snuisterijen,jolités mellées,gulden,61,137499,8853,182712,41945,5255,177701,10270,609,0,1038,0,0,10234,561,1393,265,0,0,9,0,0,1108,749,640,16660,142,0,27773,632,2617,46,0,0,1211,136,0,6554,6,0,12766,110,0,5799,0,257,0,0,0,0,0,0,317,180,5,159,242,4,197,231,80,7,0,0,1141,0,15
klokken (metaal),metail en cloches,pond,61,"2536,5",3034,"4921,75",886,1626,4331,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,261,450,0,0,0,0,0,0,0,0,0,0,340,100,0,0,0,0,0,0,0,20,0,0,144,284,"1,75","18,5",0,0,0,20,439,286,0,150,0,492,0
parels (fijne),perles fines,ons,62,450,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parels (valse, verwerkt)",perles fausses montées,pond,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kunstbloemen,fleurs artificielles et egraittes,gulden,62,702,212,551,0,12,0,4,0,0,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,3,0,0,23,22,0,0,0,0,161,30,0,363,0,544,0,0,0,2,0,0,41,129,7,8,0,0,0,0,0,0,0,0,46,0,0
pluimen voor hoeden,plumets pour chapeaux,aantal,62,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
pluimen voor hoeden,plumets pour chapeaux,gulden,62,186,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,0,34,6,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
zonne- en regenschermen,parapluys et parasols,aantal,62,166,50,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,23,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,28,0,0,53,0,0,84,0,0
zonne- en regenschermen,parapluys et parasols,gulden,62,882,331,77,0,0,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,159,0,0,349,0,0,346,0,0
meubelen,meubles,gulden,62,76570,35031,26674,11467,8034,18742,2729,926,10,1016,270,10,1045,2200,265,3836,87,0,377,196,0,1618,539,0,4058,1079,0,20877,489,10,985,598,0,651,208,74,7982,310,10,3623,957,0,2606,71,343,180,630,1663,223,252,50,2286,1169,318,3206,2914,370,3614,5800,3301,1675,569,210,2516,7733,1298
spiegelglas,glaces pour miroirs,aantal,62,8153,3,7,0,1,0,349,0,0,6548,0,0,0,0,0,439,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,2,0,0,0,14,0,5,54,0,0,15,0,0,0,0,0,1,2,0
spiegelglas,glaces pour miroirs,gulden,62,44845,96,13,23498,34,0,0,0,0,2514,0,0,2047,0,0,1812,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,1220,12,0,5775,0,0,2383,0,0,4669,0,0,5,0,0,0,0,0,142,0,13,70,0,0,402,0,0,54,0,0,42,50,0
spiegels (ingekaderde),miroirs encadrés,aantal,62,6552,21,57,2,2,0,0,0,0,1050,0,0,0,0,0,91,0,0,3,2,0,55,4,0,2,0,0,4,1,0,0,0,0,0,4,0,0,0,0,4457,0,0,13,0,0,0,0,0,0,2,0,143,3,14,9,0,2,0,1,3,110,0,38,613,2,0
spiegels (ingekaderde),miroirs encadrés,gulden,62,4096,154,329,0,6,0,615,92,0,0,0,0,0,0,0,418,0,0,4,4,0,236,21,0,8,0,0,53,12,0,0,0,0,59,0,0,74,0,185,1185,0,0,73,0,0,35,0,0,0,0,0,285,0,18,25,0,2,717,10,20,152,0,104,157,9,0
spiegels (kleine),petits miroirs,dozijn,62,"5240,83","7,08",,"74,5",0,0,765,0,0,"3986,17",0,0,0,0,0,0,0,0,"15,92",0,0,0,0,0,0,0,0,0,"4,75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,5",0,0,"12,5","2,33",0,367,0,0,"12,25",0,0,2,0,0
spiegels (kleine),petits miroirs,gulden,62,9115,158,,0,0,0,1442,0,0,6728,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,28,0,0,17,0,0,0,0,0,0,0,0,0,0,3,111,0,0,0,0,0,0,0,0,0,0,3,0,0,93,2,0,737,0,0,35,0,0,4,0,0
