Product,Original French name,eenheid,pagina RG,Import 1788,Export 1788,Transit 1788,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Sint-Niklaas Import,Sint-Niklaas Export,Sint-Niklaas Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Herve Invoer,Herve Uitvoer,Herve Transit
boomstammen (onbewerkt),corps d'arbre brut,voetribbe,11,88628,290229,11566,0,0,0,3185,1570,0,0,0,0,0,200082,0,0,0,0,2580,575,0,300,835,0,400,4882,0,50,0,0,0,2640,0,150,9668,0,0,0,0,270,14080,0,1500,950,0,1100,0,0,60470,2165,2600,18623,44202,8966,0,0,0,0,8570,0,0,0,0,0,10,0
boomstammen (30 tot 40 voet en meer),corps d'arbres de 30 à 40 pieds,aantal,11,3911,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3911,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0
boomstammen (20 tot 30 voet),corps d'arbres de 20 à 30 pieds,aantal,11,13,4015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3693,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,7,310,0,0,3,0,0,0,0
boomstammen (kleiner dan 20 voet),corps d'arbres en dessous de 20 pieds,aantal,11,7736,5536,86,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,6821,4264,0,600,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,20,502,4,79,106,7,120,494,0,1,82,1,93,28,64
vloerribben en spanhouten van 4 vierkante duim,gites de 4 pouces quarrés,voetribbe,11,63307,741954,33227,0,178149,0,0,2166,0,156,0,0,0,0,0,0,0,0,174,0,0,200,3175,0,24,2592,0,130,5615,0,0,3085,0,0,67394,0,250,3524,0,0,44416,0,462,31450,0,10640,39166,13010,31358,1075,1000,10823,337833,6102,7140,15708,12550,0,2553,165,500,500,0,1450,3553,400
planken (noorse den),planches de sapin de norwegue,aantal,11,208104,8,533,0,8,533,0,0,0,0,0,0,0,0,0,17589,0,0,0,0,0,471,0,0,132866,0,0,21684,0,0,34171,0,0,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planken (gewone den),planches de sapin commune,aantal,11,75761,6917,43078,0,0,0,0,40,0,47,0,0,139,0,0,0,0,0,1324,0,0,8665,0,0,0,0,0,728,3634,0,2755,30,0,0,0,0,0,275,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,49744,1364,37275,1927,719,5703,10381,855,100
"planken (eik, drie duim en groter)",planches de chene de 3 pouces et en dessus,voet,12,910,106204,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88614,0,0,1265,0,0,9724,0,0,200,0,0,250,0,0,0,0,0,0,0,0,0,0,410,0,0,500,475,0,0,1176,0,0,0,0,0,0,0
"planken (eik, 2 duim)",planches de chene de 2 pouces et en dessus,voet,12,57731,192353,1380,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,737,967,0,0,0,0,0,0,0,51130,15892,0,0,1435,0,0,5821,0,0,50,0,0,21850,0,0,10110,0,0,0,0,0,500,0,0,572,0,89,7044,150,250,12042,0,5405,116046,1230,120,0,0
"planken (eik, 1 duim of kleiner)",planches de chene d'un pouce et en dessous,voet,12,268014,1158671,104739,0,4988,0,0,100,0,50,0,0,0,18706,0,328,0,0,0,200,0,100,1300,0,0,0,0,205827,14083,0,0,0,0,0,6746,0,0,60,0,0,19509,0,0,12908,0,0,0,1200,6805,2234,0,368,253831,7680,26797,292440,19930,8534,117125,464,17095,412117,4110,2110,2724,71355
