Product,Original French name,Dutch translation,unit of measure,Import 1759,Export 1759,Import 1760,Export 1760,Import 1761,Export 1761,Transit 1761,Import 1762,Export 1762,Transit 1762,Import 1763,Export 1763,Transit 1763,Import 1764,Export 1764,Transit 1764,Import 1765,Export 1765,Transit 1765,Import 1766,Export 1766,Transit 1766,Import 1767,Export 1767,Transit 1767,Import 1768,Export 1768,Transit 1768,Import 1769,Export 1769,Transit 1769,Import 1770,Export 1770,Transit 1770,Import 1771,Export 1771,Transit 1771,Import 1772,Export 1772,Transit 1772,Import 1773,Export 1773,Transit 1773,Import 1774,Export 1774,Transit 1774,Import 1775,Export 1775,Transit 1775,Import 1776,Export 1776,Transit 1776,Import 1777,Export 1777,Transit 1777,Import 1778,Export 1778,Transit 1778,Import 1779,Export 1779,Transit 1779,Import 1780,Export 1780,Transit 1780,Import 1781,Export 1781,Transit 1781,Import 1782,Export 1782,Transit 1782,Import 1783,Export 1783,Transit 1783,Import 1784,Export 1784,Transit 1784,Import 1785,Export 1785,Transit 1785,Import 1786,Export 1786,Transit 1786,Import 1787,Export 1787,Transit 1787,Import 1788,Export 1788,Transit 1788,Import 1789,Export 1789,Transit 1789,Import 1790,Export 1790,Transit 1790,Import 1791,Export 1791,Transit 1791
printed overshoes,empeignes de souliers emprimées,bedrukte bovenschoenen,boxes,"10,5",345,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
printed overshoes,empeignes de souliers emprimées,bedrukte bovenschoenen,guilders,11,328,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen overshoes,empeignes de toille,lijnwaad (overschoenen),pair,...,...,7,203,0,300,0,72,290,0,0,276,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen overshoes,empeignes de toille,lijnwaad (overschoenen),guilders,...,...,7,75,0,89,0,0,85,0,0,"126,5",0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
leather in shoe uppers and heels,empeignes et talons de cuir coupé,leder versneden in bovenschoenen en hielen,guilders,0,2467,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
leather (dyed for shoe uppers),empeignes peintes pour souliers,leder (geverfd voor bovenschoenen),pair,...,...,...,...,33,8604,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
leather (dyed for shoe uppers),empeignes peintes pour souliers,leder (geverfd voor bovenschoenen),boxes,...,...,...,...,...,...,...,3,430,0,7,3617,0,7,3251,0,"47,92",4574,"0,17",12,5038,0,"2,5",4580,0,8,"3431,5",0,108,"1992,33",0,"1,17","2431,5","0,5",0,"1913,25",4,"5,42",4138,0,65,"3719,17",0,0,5126,0,32,"2159,67",0,0,"3167,33",0,0,2588,0,"14,17",3566,0,0,250,0,0,"2737,5",0,0,3029,0,0,1993,0,0,"728,5",0,19,"616,5",0,"5,33",588,0,0,1693,0,0,1278,0,0,623,0,0,"2174,83",0,0,2031,14,"8,5",2286,0
leather (dyed for shoe uppers),empeignes peintes pour souliers,leder (geverfd voor bovenschoenen),guilders,...,...,...,...,5,2040,0,10,1300,0,"25,5","12736,5",0,23,1916,0,579,4672,4,110,2330,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
incense,encens,wierook,pounds,1448,40,...,...,8405,1061,1966,12194,"853,5",470,11154,153,291,9706,956,89,4330,317,94,"8674,5",1732,"53,5",4574,"396,5",83,5354,66,242,10649,197,65,16263,4431,819,7339,368,60,8325,282,1009,"5058,5",149,18,14314,"143,5",419,"10908,1",191,1269,6888,358,272,8364,274,622,4688,124,180,1031,1876,0,4582,94,76,1074,199,353,5179,13,446,1241,127,280,5984,79,468,3211,20,597,7280,62,738,"1372,25",45,704,"3816,75",95,76,1830,176,"936,5",1862,154,772,2634,56,1060
iron anvils,enclumes de fer,ijzeren aambeelden,pounds,1500,250,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
