Product,Original French name,Dutch translation,unit of measure,Import 1759,Export 1759,Import 1760,Export 1760,Import 1761,Export 1761,Transit 1761,Import 1762,Export 1762,Transit 1762,Import 1763,Export 1763,Transit 1763,Import 1764,Export 1764,Transit 1764,Import 1765,Export 1765,Transit 1765,Import 1766,Export 1766,Transit 1766,Import 1767,Export 1767,Transit 1767,Import 1768,Export 1768,Transit 1768,Import 1769,Export 1769,Transit 1769,Import 1770,Export 1770,Transit 1770,Import 1771,Export 1771,Transit 1771,Import 1772,Export 1772,Transit 1772,Import 1773,Export 1773,Transit 1773,Import 1774,Export 1774,Transit 1774,Import 1775,Export 1775,Transit 1775,Import 1776,Export 1776,Transit 1776,Import 1777,Export 1777,Transit 1777,Import 1778,Export 1778,Transit 1778,Import 1779,Export 1779,Transit 1779,Import 1780,Export 1780,Transit 1780,Import 1781,Export 1781,Transit 1781,Import 1782,Export 1782,Transit 1782,Import 1783,Export 1783,Transit 1783,Import 1784,Export 1784,Transit 1784,Import 1785,Export 1785,Transit 1785,Import 1786,Export 1786,Transit 1786,Import 1787,Export 1787,Transit 1787,Import 1788,Export 1788,Transit 1788,Import 1789,Export 1789,Transit 1789,Import 1790,Export 1790,Transit 1790,Import 1791,Export 1791,Transit 1791
medlars,meffles,mispels,pounds,10,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
melons,melons,meloenen,pieces,8,0,13,0,25,0,558,20,0,397,6,0,22,36,0,208,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
minium,menie,kleurstoffen (menie),pounds,3596,565,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
small coal,menus charbons de terre,steenkool (klein),"""charrée""",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1004,25","15503,17","1595,21","159,5","709,5","633,5","650,75","769,83",115,"1714,25",2989,"689,5",413,"1323,5","815,5",1824,"1759,17",1183,2791,"1922,47",1567,"2867,5","1394,08","634,67",1491,"3186,42","699,5","1357,5",1508,"587,33","2425,75","3250,5","704,5","1993,5",1112,"1171,75","1858,5",656,835,"167,75","2439,67","401,25","2863,25","2402,25","684,25","1956,25","2910,63","244,17",5194,2560,1316,4133,14588,4031,"2905,75","4304,75",704,"3292,06","3768,5","1056,75","2521,25","4856,58","1106,17","4390,75",5173,"1489,5","4310,25","5311,5",1508,"4870,25",5078,1232,"3312,67","5915,75",1273,"2704,5","4101,75","798,75",4049,"5752,96",487
small coal,menus charbons de terre dits Sméegruys,steenkool (klein),quarter,"154051,42","264183,13","88975,83","243334,25","159189,67",158546,1179,96900,"213679,25","10189,83","100247,5","212117,75","2907,92","189075,1","174891,17","1636,5","251675,83",244352,"5026,13",323869,"232217,25",4482,"429764,5","202781,25","4454,5","260412,5","206482,25","3627,5","250882,88","212148,25","5149,5","471357,33","218576,5",5828,"406409,3","237568,25",7181,411460,"189246,25","5712,67","416564,42","168114,75","11284,5","264034,5","198826,63",9956,"314877,75","203654,5",7432,"284290,25","223061,92","9770,83","311748,08","239656,96","10395,17","274970,63","259658,83","13903,67","255164,04",248774,"12198,83","222871,5",297094,"3436,67",232967,"870876,5",4279,239320,629740,5650,"140312,33","332888,75",18315,"265000,5","289372,5",17919,230287,306371,18882,261893,319578,15819,"290109,75","453365,5",19686,"301490,25",400961,"17167,17",275779,"323754,5","15872,5","109298,5","298888,92","13083,33",263320,292489,10374
small woodwork,menus ouvrage de bois,houtwerk (klein),zak,"677,21","266,56","682,38",405,659,"296,38",8,"718,74","389,63","15,25","695,21","328,29","15,42","710,21","362,75","2,42","1869,55","443,5","19,5","828,38","520,25","25,5","828,58","475,92","26,42","693,77","642,88",4,"553,71","519,65",0,"11,88","743,46",0,"28,88",434,0,"33,58","414,38",0,"21,88","457,25",0,"24,58","418,75",1,"25,33","404,38",0,"17,33","383,38",0,"24,17","363,25",0,10,"30,5",0,"20,67","237,88",0,"20,17","372,13",0,22,150,0,26,184,0,"14,75","186,5",0,"19,5",74,0,18,"81,5",0,"24,5","74,5",0,"35,5","63,75",0,"30,13","12,5",1,"32,5",6,0,"27,17","8,25",1,"30,5","7,5",1
small cross-beams,menus sommiers,schoorbalken (klein),pieces,...,...,...,...,5,41,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
small cross-beams,menus sommiers,schoorbalken (klein),guilders,...,...,...,...,2,"10,25",0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
minutiae,menutés,kleinigheden,guilders,"20639,35","10222,65","2155,25","7634,45","3276,9","3837,45","1380,6",4177,"3927,25","4741,9","6725,01","3335,2","2772,1",5803,3573,1028,9525,5837,1246,14350,5560,410,6585,5102,364,6477,4306,1332,8655,4820,6568,11816,5670,5969,8283,6255,1835,9594,7233,3537,16407,5746,2613,9036,5710,3298,10909,5087,2834,28072,7592,2690,10728,7472,3271,12445,14869,3169,13445,7791,2295,11275,9335,4457,13449,11556,5382,15210,12047,6823,19958,11654,4515,15338,12564,4038,11533,10730,1472,19597,13506,13056,19793,12288,5206,16309,10460,4000,16606,24720,2252,27763,7563,2325,19482,11313,3125
furnishings and knick-knackery,mercerie et jolités mellées,galanteriewaren en snuisterijen,pounds,...,...,...,...,...,...,...,...,...,...,9854,102,32816,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
furnishings and knick-knackery,mercerie et jolités mellées,galanteriewaren en snuisterijen,guilders,...,...,...,...,...,...,...,"5914,25","814,5",255910,11896,345,46365,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
furnishings from Nuremberg,merceries de Nuremberg,galanteriewaren van Nuremberg,pounds,...,...,...,...,1680,0,1862,13853,0,2674,8578,6830,517,"4364,5",10,512,"3627,5",30,0,160,2,1249,106,0,2854,0,0,0,132,21,0,2803,50,2580,"12880,91",5,200,"31389,25",0,0,1339,0,140,"15641,75",0,605,"12932,25",0,0,887,0,0,1046,0,1228,"28261,5",13,0,349,12,500,250,0,0,5752,0,1000,11554,0,280,285,0,0,9415,0,0,380,0,0,21907,0,430,0,0,0,24257,0,0,4322,0,0,4593,0,0,19524,0,0
furnishings from Nuremberg,merceries de Nuremberg,galanteriewaren van Nuremberg,guilders,...,...,...,...,"136,5",83,2824,18,60,0,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,97,0,0,2351,26,0,24,0,14,45,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
mixed furnishings,merceries mellées,galanteriewaren (gewone),pounds,"120859,63",26370,92147,"27407,75","113560,88","13984,5",99198,"94338,75","15611,75",404632,112264,"25679,5","362580,5","133957,5",36702,"49814,5","140718,75","23315,5",49695,"149885,05",27435,"24891,75","147075,5","30767,5",74190,"150419,5",26018,77910,137174,19582,"85352,5","152925,38","21360,25",70720,"140947,84","24122,75","77193,5",118727,"18339,25",153866,"133369,13","28880,5",121379,"119022,88",23118,117905,124857,"30343,38","146778,5","164294,88","17798,5",153251,"142684,25","19508,5","199330,5","117537,75","14708,13",347701,"173577,38","15210,25","514407,75",171643,"16676,38",534725,161560,25937,849098,152455,34608,400271,150915,"32208,63",333307,"133245,25","30379,5",180918,146897,"27391,5","251389,25",151870,26690,190481,"152502,25","34986,25",174619,"184323,5",55473,"152508,25","153752,75","48280,5","150306,5","108215,25","33071,75","106697,5",134710,"40256,5",141496
mixed furnishings,merceries mellées,galanteriewaren (gewone),guilders,"506,5","6264,5",39121,9372,"12096,75","10311,6","99195,7","45415,85","11747,5","19497,3","46292,35","11601,5",25657,41826,12506,12443,56862,16672,21426,53670,16573,18338,101686,18205,18613,195001,12167,38879,150436,12524,41535,104071,12217,32774,97260,11356,28140,129728,11867,21547,131339,9557,17643,60117,11927,22716,65178,11640,16704,30644,9216,17694,20995,8837,12642,16783,8137,11450,27072,7113,9330,39661,5846,11143,37715,9551,8460,31443,9282,26238,44420,8875,6829,32522,8865,7477,63459,9528,8849,47418,8083,7929,47525,8780,3727,76043,10673,11310,79804,6045,8806,72108,7278,14752,109235,6567,10792
mercury,mercure,kwik,pounds,...,...,...,...,47,0,0,...,...,...,"0,25","1,5",0,"58,25",0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
whiting,merlins,wijting,baskets,188,"0,33","446,63","301,25","902,08",0,0,"1205,75",0,0,"1236,92",0,0,"708,25",0,0,"803,25",2,0,"197,5","0,13",0,"859,63",7,0,668,9,0,"1281,58",5,0,"1095,63",0,0,"1401,4","0,25",0,"1037,05",0,0,"1114,2",0,0,"579,1",0,0,"596,48",0,0,"522,38",0,0,"258,5",5,0,"345,7",0,0,"483,33",0,0,470,0,0,1095,0,0,123,1,0,"703,5",0,1,"1113,75","0,5",0,"1307,75",0,0,"590,5",0,0,"310,5",0,0,"434,25",0,0,320,0,0,"343,25",0,0,"1415,25",0,0
metal,metail,metaal,pounds,670,75,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
metal clocks,metail en cloches,klokken (metaal),pounds,695,2753,2164,"536,5","2601,81",995,730,1435,615,100,4369,320,1001,1740,220,375,"3287,5",306,2667,"3577,75",1342,1135,"16283,5",428,1100,"7224,25",4554,500,"2062,25",103535,500,"3805,75",8240,2337,1783,7603,4050,2087,1440,"2269,5","832,75",100,1004,"2636,25",995,522,2036,1247,2354,"1606,5",114,421,"1339,75",1888,938,"2443,25",1350,2850,"1547,25",587,1014,"3327,5",1580,"488,5",1830,848,6716,1948,1485,287,"2050,5",1149,1782,"2148,5",5087,"2051,25",1756,5469,4170,3011,2336,9716,"3392,25",4825,"4732,75","2536,5",3034,"4921,75","3528,25",13752,"3930,5",1344,14720,2857,2518,2100,4870
metal and bronze in powder,metail et bronse moulu,metaal en brons in poedervorm,guilders,6,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
processed metal,"metail frappé, ouvré et moulu",bewerkt metaal,guilders,38,0,189,65,39,0,300,100,71,130,717,0,900,40,150,10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
processed metal in powder,metail moulu,bewerkt metaal in poedervorm,pounds,...,...,...,...,15,0,150,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
looms for sock makers,métier à faire bas,weefgetouwen voor kousenmakers,pieces,6,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
looms for sock makers,métier à faire bas,weefgetouwen voor kousenmakers,guilders,428,350,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
looms,métiers,houtwerk (weefgetouwen),guilders,...,...,...,...,"1184,5",353,7,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
looms for tapistry,métiers à faire tapisseries,weefgetouwen voor tapijtwerkers,pieces,6,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
looms for tapistry,métiers à faire tapisseries,weefgetouwen voor tapijtwerkers,guilders,42,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
looms for linen,métiers de tisserans,weefgetouwen voor linnenwevers,pieces,9,9,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
looms for linen,métiers de tisserans,weefgetouwen voor linnenwevers,guilders,387,160,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"looms, presses, mills","metiers, presses cribles, bulteaux de moulin","houtwerk (getouwen, persen, molens...)",pieces,...,...,...,...,...,...,...,...,...,...,0,0,22,40,20,6,51,20,7,55,34,12,66,14,14,26,13,2,67,82,10,47,18,3,45,43,49,92,49,5,91,94,16,70,75,11,49,19,9,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"looms, presses, mills","metiers, presses cribles, bulteaux de moulin","houtwerk (getouwen, persen, molens...)",guilders,...,...,"1926,5",652,"183,5",7,84,"1714,25",110,239,1026,"264,5",218,1586,336,393,2585,583,414,2085,1202,5,1558,445,497,1791,234,30,…,…,…,3074,630,194,1643,627,966,1956,378,2888,0,0,0,1816,674,457,1381,169,71,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
maslin,metillon,masteluin,last,"10,35","14,25","4,88","48,63","30,42","31,75","0,25","101,67","57,17","4,92","26,4","50,2","0,25","31,86","11,93","0,29","52,27","18,86","2,47","55,88","76,71",0,"86,67","20,1","2,25","3,33","12,67","14,5","5,25","36,33","2,75","7,38","45,37","0,77","5,1","0,64","0,58","4,71","3,82","9,27","9,93","3,94","23,17","3,93","28,17","6,33","3,02","1,92","0,51","2,92","7,17","1,25","8,29","141,57","24,78","7,57","97,97","0,63","102,67","34,25","6,5","65,96","54,91","3,14",14,3,3,25,18,3,"17,1",13,"0,87","13,74","31,67","2,89","9,58","1,38","4,83","38,46","13,67","5,33","56,58","26,58","0,42","17,58","15,31","0,63","3,17","17,42","1,25",6,"0,92","1,75","9,58",1,"0,58"
maslin in sheaves,metillon en jarbes,granen (alle soorten in schoven) - masteluin,"""charée""",0,6,2,"10,75","11,38","9,02",0,...,...,...,0,1,0,3,"21,25",0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
furniture,meubles,meubelen,guilders,"46148,4","27288,05","27527,45","19177,4","49427,75","25289,5",16204,41919,"24092,35","18534,25","38387,9","30636,9","11535,45",49397,32890,16151,55890,39121,5986,57557,32930,4973,64591,31530,3372,62926,29237,4083,72597,30364,5921,72755,27888,7342,66284,26394,6241,68511,26799,5229,63504,23548,8682,70836,38219,7982,79902,32497,5647,86675,27463,9002,101956,25947,8234,104313,27712,12160,110758,30492,11561,117639,32725,23840,122074,34969,41948,122790,39781,19069,121462,45325,21286,106248,31114,22581,91600,33706,22384,105744,34710,15148,70375,40514,30532,76570,35031,26674,64950,27741,17117,33104,36813,20362,98561,24725,20771
European chub,meuniers,meuniers,baskets,"31,6","6,75",...,...,...,...,...,"11,15",3,0,"79,38",0,0,"49,25",0,0,"11,75",0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
white honey,miel blanc,honing (witte),pounds,17198,2450,19990,4703,18580,11869,2579,"30622,25",1142,5145,62250,1525,352,"24698,5",4827,4441,"29613,5","712,5",77,24502,"153,5",2289,"36100,5",6305,2415,17465,6043,"1504,5","39319,5",8639,314,39429,16247,5828,33877,142,484,34112,16161,"3125,5",18640,"5372,5",2670,24381,7080,1675,"29432,5",69,3170,21650,1525,1170,23793,894,440,39814,4173,1289,27337,19824,1281,"75163,5","2738,25",210,21174,599,550,22124,2819,123,37202,6679,5745,13444,1790,30,15986,4480,1308,20141,5444,8,"41762,5",2508,261,"25610,5",9334,328,24785,6021,251,10952,5296,340,117707,1952,438
honey (brouche),miel brouche,honing (brouche),tons,"34,75","56,75","13,75","144,5","5,83","49,31",14,34,"56,25",10,1,"133,5",2,"13,5","140,58","7,75","1,5","108,5","16,25","6,5","83,5","1,5","8,25","93,67","17,5","16,13",36,"10,13","21,25","49,75","4,5","27,42","36,5","4,5","76,63","39,17","4,75","10,5","48,75","1,5","24,5","6,5",0,"19,5",89,0,"36,96","27,13",0,"12,75","11,5",4,"15,75","64,5","18,75","90,75","38,17","13,5",47,78,3,40,"50,83",10,24,116,3,6,16,2,"9,42","123,75",0,"89,75","48,33",3,"3,5","17,67","3,5","6,17","16,2",6,"27,25","59,96",7,23,"17,5","8,5","11,75","32,67",0,"12,25","24,83","1,17",31,"23,08",3
honey (brouche),miel brouche,honing (brouche),guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,51,68,0,22,403,25,…,…,…,…,…,…,…,…,…,…,…,…,0,634,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
brown honey,miel brun,honing (bruine),pounds,"51147,5",15550,31976,9726,40078,22063,5105,70355,20265,8327,85360,"13888,5",2045,126347,7928,1500,117854,14667,4091,191848,30439,4420,125280,6062,3740,121866,3122,4584,111602,13869,4525,"128903,5","7962,5",1612,166212,8779,"1092,5",229086,22753,4503,82846,17257,3445,"84221,5",5424,2850,304098,8651,2207,158205,18362,2650,184202,21036,4438,144030,28684,7610,"212481,5","15989,67",12525,367290,23495,35998,71625,94671,90506,281271,14175,3257,115424,23986,1388,83547,40103,1115,85956,21876,10,55602,33587,2575,254813,23671,448,334120,31508,7790,218830,"38580,5",15427,161327,11178,"36302,5",47549,18667,4402
all kinds of decorations,milleret et agréments,allerlei versieringen,guilders,...,...,...,...,...,...,...,"1133,5",108,"13922,5",...,...,...,...,...,...,4220,46,2405,393,1222,101,68,45,55,409,0,804,2528,6,482,104,0,0,281,390,0,49,0,40,22,32,196,145,398,372,586,207,735,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
all kinds of decorations in silk,milleret et agréments de soye,allerlei versieringen in zijde,guilders,10,108,268,0,"1642,25",199,510,...,...,...,"2599,25",202,4003,1327,274,19522,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
gierst,millet,gierst,pounds,"49619,5",687,83884,"41,25",60523,400,"5987,5","52009,5",105,4708,"80123,5",1318,"261459,5",63902,650,16854,57135,0,4538,53421,200,6490,"68424,5",1580,19068,89600,"1591,5",3709,84529,417,1966,"45119,5",150,"15808,5",48275,25,9658,17244,25,166,17608,0,536,81046,612,25700,52449,60,24580,58128,0,47773,79981,416,23634,"71503,5",1715,3496,88928,628,5454,102689,632,7023,62359,5186,3381,64468,1325,4036,"71006,5",139,9082,59833,1213,15717,"75696,5",954,6531,61364,114,6579,119571,446,2145,"110138,5",420,8636,45705,5000,5891,29760,0,2490,349465,60,1891
copper ore (red),mine de cuivre rouge,kopererts (rood),guilders,0,"33,5",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
lead (ore),minerai de plomb,lood (erts),pounds,...,...,...,...,113744,600,21400,48550,550,31200,56944,0,0,46060,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
iron ore,mines de fer,ijzererts,"""charée""",0,"597,08",0,"670,5",8,"481,5",0,0,742,23,0,"517,42",320,108,"1411,17",864,"157,33","1675,17",1066,"126,83",717,"54,5","1,33",1576,703,"0,13",1659,825,119,"1067,5","1221,25",132,"1058,17","1514,75","173,75","1456,33","1969,63",78,"1938,67","2304,38",1245,"1404,79","1588,88","169,42","1008,88","2072,25","471,5","1483,83",2651,290,"2129,5",3262,"629,5","1946,67","3052,88","307,5","1821,33","1996,13","125,33","1957,17","2242,25","152,17",2073,"2285,75",515,1871,1546,0,0,0,"264,33","2420,33","2405,75",18,"2234,83",1125,5,"1383,58",806,0,"1139,91","1126,06","415,5",1188,"453,5","1238,5",1076,"1169,25","861,5","1920,25","1336,13",951,"1287,29","1236,75",993,"1405,58","742,25"
iron ore,mines de fer,ijzererts,pounds,0,129187,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
toilet mirrors,miroirs de toilet,toiletspiegels,pieces,...,...,...,...,1261,30,3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
framed mirrors,miroirs encadrés,spiegels (ingekaderde),pieces,...,...,920,35,629,21,50,1017,81,13,2297,19,44,3471,9,11,2698,54,40,10067,1545,35,348,43,46,1390,55,60,413,9,21,337,51,157,1067,68,151,1783,16,11,991,59,34,1954,21,13,1596,86,20,963,43,24,788,19,7,915,53,10,2089,56,23,563,66,13,2171,67,31,609,236,25,1159,581,42,1324,40,84,325,155,30,776,33,41,828,134,271,6552,21,57,3051,100,8,1513,142,116,6662,31,51
